GID_0,year,rainy_months,stunting_rate,hot_months,rainy_months1,rainy_months2,hot_months1,hot_months2,GDP,laggedGDP,laggedGDP2
LBR,2008,2,38.9,2,1,1,0,0,65.17456547,65.59815004,63.81802502
LSO,2008,0,41,0,1,2,1,0,5.512029958,5.392479304,4.842764809
MDG,2008,2,50.1,1,1,0,2,4,27.05257205,28.06701329,30.18227172
MLI,2008,1,33.7,0,1,1,0,0,32.97032081,31.35287468,29.79050883
MOZ,2008,1,43.8,0,2,1,1,1,26.41548795,23.76611914,23.9025048
MRT,2008,1,29.2,0,1,0,0,2,18.5594231,18.43251928,16.60714389
MWI,2008,1,49.5,0,1,1,1,0,29.97580655,27.51127902,30.86732465
NAM,2008,3,27.2,1,0,3,3,0,7.531686571,8.440713665,9.646471039
NER,2008,1,49.9,0,1,1,0,1,38.77500623,37.09450644,39.74507858
NGA,2008,2,39.6,1,1,2,0,4,25.27975078,24.66257721,24.73499126
RWA,2008,0,47.5,0,1,3,0,4,24.79353906,26.08351546,30.04198743
SEN,2008,1,20.5,1,1,0,0,1,14.68662702,12.24591057,13.39515159
SLE,2008,2,38.8,2,1,1,0,1,53.65350832,52.17604718,50.29408713
SOM,2008,0,32.4,2,0,2,2,0,NA,NA,NA
STP,2008,2,21.7,1,2,0,1,1,9.477674521,9.42166267,8.765243075
SWZ,2008,0,32.9,2,0,4,1,2,9.999453904,10.75417526,11.18421584
SYC,2008,0,8.3,0,0,1,2,0,2.568828031,2.746664742,2.980658674
TCD,2008,0,40.5,0,0,1,0,2,54.5898348,54.67325498,55.77192044
TGO,2008,1,29.9,0,3,1,2,2,38.90206949,29.13972393,33.64337311
TZA,2008,0,42.1,0,0,3,0,3,24.76549388,23.24548824,23.66931073
UGA,2008,0,37.8,1,0,1,1,3,21.38459856,22.27811368,24.03493298
ZMB,2008,1,46.7,0,2,2,1,1,11.45399975,12.10559624,13.20627106
